Date,Open,High,Low,Close,Adj Close,Volume,EMA_20,EMA_100,signal,position,trade,asset_return,strategy_gross_return,cost,strategy_net_return,buy_and_hold_equity,strategy_equity
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,
2015-01-02,27.84749984741211,27.860000610351562,26.837499618530273,27.332500457763672,24.21489715576172,212818400,27.332500457763672,27.332500457763672,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
2015-01-05,27.072500228881836,27.162500381469727,26.352500915527344,26.5625,23.53272247314453,257142000,27.259167080833798,27.31725292394657,0,0.0,0.0,-0.028171606873419353,-0.0,0.0,-0.0,9718.283931265807,10000.0
2015-01-06,26.635000228881836,26.857500076293945,26.157499313354492,26.565000534057617,23.53493309020996,263188400,27.193055981140827,27.302356837018074,0,0.0,0.0,9.413775275746161e-05,0.0,0.0,0.0,9719.198788675754,10000.0
2015-01-07,26.799999237060547,27.049999237060547,26.674999237060547,26.9375,23.86495018005371,160423600,27.16871731627027,27.29513194915633,0,0.0,0.0,0.014022189288677822,0.0,0.0,0.0,9855.483233824854,10000.0
2015-01-08,27.3075008392334,28.037500381469727,27.174999237060547,27.97249984741211,24.781892776489258,237458000,27.245268033521874,27.308545174864364,0,0.0,0.0,0.038422268117386915,0.0,0.0,0.0,10234.153253061284,10000.0
2015-01-09,28.167499542236328,28.3125,27.552499771118164,28.002500534057617,24.808469772338867,214798000,27.31738541452528,27.32228686514542,0,0.0,0.0,0.0010725064548811059,0.0,0.0,0.0,10245.129448485435,10000.0
2015-01-12,28.149999618530273,28.157499313354492,27.200000762939453,27.3125,24.19717025756836,198603200,27.316920136951442,27.322093065835606,0,0.0,0.0,-0.02464067568603079,-0.0,0.0,-0.0,9992.682536383902,10000.0
2015-01-13,27.857500076293945,28.200000762939453,27.227500915527344,27.55500030517578,24.412010192871094,268367600,27.339594438687094,27.326705090376993,1,0.0,0.0,0.008878729708952982,0.0,0.0,0.0,10081.40486369183,10000.0
2015-01-14,27.260000228881836,27.622499465942383,27.125,27.450000762939453,24.318986892700195,195826400,27.350109326711127,27.329146588843575,1,1.0,1.0,-0.0038105440418596537,-0.0038105440418596537,0.0015,-0.005310544041859653,10042.989226454914,9946.894559581404
2015-01-15,27.5,27.514999389648438,26.665000915527344,26.704999923706055,23.65896987915039,240056000,27.288670335948737,27.31678724893986,0,1.0,0.0,-0.02714028482794184,-0.02714028482794184,0.0,-0.02714028482794184,9770.419638324978,9676.93300808086
