short_ema,long_ema,total_return,cagr,annual_volatility,sharpe_ratio,max_drawdown,number_of_trades
30,200,4.791861264608099,0.19234817082059585,0.2448440008866104,0.8411884632093657,-0.37950379035179227,13
10,200,4.235946191148953,0.18035821003921404,0.23672806272576466,0.8191699846663412,-0.30047831576160133,25
50,150,4.3379685821954,0.18264184492980173,0.2448879591945593,0.8076870546900381,-0.38539237287609407,13
30,150,4.0702802408861904,0.1765632638050092,0.24068724651668058,0.7961826473000763,-0.3591261125147831,15
20,200,4.022686858046751,0.1754523994859989,0.2405804779836015,0.7924714048582956,-0.33772952439421255,17
10,80,3.197264072110573,0.1545046065751634,0.2106808419331161,0.7873805786011464,-0.2687322156169609,53
50,100,3.6801162664428704,0.1671649126525223,0.23955697640747628,0.7653029779208625,-0.34930401911505415,17
10,100,3.044499501464961,0.15022541530535416,0.21914790569842382,0.7484274355549827,-0.30166920042120815,43
50,80,3.4044190057466635,0.16008878901430101,0.23736880729180593,0.7445152161605678,-0.33692748126767946,21
50,200,3.5944540483436143,0.1650073755232737,0.24745546377541067,0.7411473195546513,-0.3686260921889878,13
10,150,3.255029987190433,0.15608627962065613,0.23220809624330868,0.7410079935903138,-0.2957605429787227,35
20,150,3.1695714637476353,0.1537394050569445,0.23479079778741052,0.7268092668151527,-0.3600293732416001,21
30,100,2.959016118246456,0.14776699717955122,0.23261497501571443,0.7091325593678176,-0.32735148115088863,27
20,80,2.2326007596848583,0.12469876157893456,0.22575755453858076,0.6336942788942043,-0.3512251642769887,37
20,100,2.1974198320673897,0.12346674260429147,0.22965643110733616,0.6220082953711432,-0.3352445225464439,35
30,80,2.1009207209626823,0.12002367981683126,0.22898110447291345,0.6097523421118255,-0.3547620741182165,35
